Name,Year,Please,Type,Mass,Lat,Long
Aachen,1880,"Nordrhein-Westfalen, Germany",L5,21 g,50.775,6.08333
Aarhus,1951,"Region Midtjylland, Denmark",H6,720 g,56.18333,10.23333
Aba,1927,"Kanto, Japan",Pseudometeorite,,35.95,140.4
Abee,1952,"Alberta, Canada",EH4,107 kg,54.21667,-113
Acapulco,1976,"Guerrero, Mexico",Acapulcoite,1914 g,16.88333,-99.9
Achiras,1902,"Cordoba, Argentina",L6,780 g,-33.16667,-64.95
Adhi Kot,1919,"Punjab, Pakistan",EH4,4.24 kg,32.1,71.8
Adzhi-Bogdo stone,1949,"Govi-Altay, Mongolia",LL3-6,910 g,44.83333,95.16667
Aegospotami,-465,Greece,Doubtful meteorite,,,
Agen,1814,"Aquitaine, France",H5,30 kg,44.21667,0.61667
Aglar,1112,"Friuli-Venezia Giulia, Italy",Doubtful meteorite,,45.78333,13.36667
Aguada,1930,"Cordoba, Argentina",L6,1620 g,-31.6,-65.23333
Aguila Blanca,1920,"Cordoba, Argentina",L,1440 g,-30.86667,-64.55
Ahmedabad,892,"An Najaf, Iraq",Doubtful meteorite,,32.08333,44.33333
Aidin,1340,"Aydin, Turkey",Doubtful meteorite,,37.83333,27.8
Aioun el Atrouss,1974,"Hodh el Gharbi, Mauritania",Diogenite-pm,1000 g,16.39806,-9.57028
A•r,1925,"Agadez, Niger",L6,24 kg,19.08333,8.38333
Aire-sur-la-Lys,1769,"Nord-Pas-de-Calais, France",Unknown,,50.66667,2.33333
Akaba,1949,"Ma'an, Jordan",L6,779 g,29.51667,35.05
Akbarpur,1838,"Uttar Pradesh, India",H4,1800 g,29.71667,77.95
Akwanga,1959,"Plateau, Nigeria",H,3 kg,8.91667,8.43333
Akyumak,1981,"Agri, Turkey","Iron, IVA",50 kg,39.91667,42.81667
Al Rais,1957,"Al Madinah, Saudi Arabia",CR2-an,160 g,24.41667,39.51667
Al Zarnkh,2001,"Kurdufan, Sudan",LL5,700 g,13.66033,28.96
Alais,1806,"Languedoc-Roussillon, France",CI1,6 kg,44.11667,4.08333
Albareto,1766,"Emilia-Romagna, Italy",L/LL4,2 kg,44.65,11.01667
Alberta,1949,"Haut-Zaire, Congo - Dem. Rep.",L,625 g,2,22.66667
Alby sur Ch_ran,2002,"Rhone-Alpes, France",Eucrite-mmict,252 g,45.82133,6.01533
Aldsworth,1835,"England, UK",LL5,700 g,51.78333,-1.78333
Aleppo,1873,"Halab, Syria",L6,3.2 kg,36.23333,37.13333
Alessandria,1860,"Piemonte, Italy",H5,908 g,44.88333,8.75
Alexandrovsky,1900,"Chernigov, Ukraine",H4,9.25 kg,50.95,31.81667
Alfianello,1883,"Lombardia, Italy",L6,228 kg,45.26667,10.15
Allegan,1899,"Michigan, USA",H5,32 kg,42.53333,-85.88333
Allende,1969,"Chihuahua, Mexico",CV3,2 t,26.96667,-105.31667
Almahata Sitta,2008,"Nahr an Nil, Sudan",Ureilite-an,3.95 kg,20.74575,32.41275
Alta'ameem,1977,"At Ta'min, Iraq",LL5,6 kg,35.27333,44.21556
Alto Verde,,"Mendoza, Argentina",Pseudometeorite,,-33.11667,-68.33333
Alwal,1901,"Andhra Pradesh, India",Doubtful Iron,,17.36667,78.46667
Ambapur Nagla,1895,"Uttar Pradesh, India",H5,6.4 kg,27.66667,78.25
Andhara,1880,"Bihar, India",Stone-uncl,2.7 kg,26.58333,85.56667
Andover,1898,"Maine, USA",L6,3.2 kg,44.61667,-70.75
Andreevka,1969,"Donetsk, Ukraine",L3,600 g,48.7,37.5
Andura,1939,"Maharashtra, India",H6,17.9 kg,20.88333,76.86667
Angers,1822,"Pays de la Loire, France",L6,,47.46667,-0.55
Angra dos Reis stone,1869,"Rio de Janeiro, Brazil",Angrite,1500 g,-22.96667,-44.31667
Ankhediya Mota,1985,"Gujarat, India",L4/5,20 kg,22.35556,73.575
Ankober,1942,"Shewa, Ethiopia",H4,6.5 kg,9.53333,39.71667
Anlong,1971,"Guizhou, China",H5,2.5 kg,25.15,105.18333
Annama,2014,"Murmanskaya oblast', Russia",H5,167.9 g,68.77491,30.78726
Aomori,1984,"Tohoku, Japan",L6,320 g,40.81056,140.78556
Appley Bridge,1914,"England, UK",LL6,15 kg,53.58333,-2.71667
Apt,1803,"Provence-Alpes-Cote d'Azur, France",L6,3.2 kg,43.86667,5.38333
Arbol Solo,1954,"San Luis, Argentina",H5,810 g,-33,-66
Archie,1932,"Missouri, USA",H6,5.07 kg,38.5,-94.3
Ard—n,1931,"Castilla y Leon, Spain",L6,5.5 g,42.43633,-5.5605
Arroyo Aguiar,1950,"Santa Fe, Argentina",H5,7.45 kg,-31.41667,-60.66667
Arundu,1936,"Northern Areas, Pakistan",Doubtful stone,,35.86667,75.33333
Asco,1805,"Corse, France",H6,41 g,42.45,9.03333
Ash Creek,2009,"Texas, USA",L6,9.5 kg,31.805,-97.01
Ashdon,1923,"England, UK",L6,1300 g,52.05,0.3
Assisi,1886,"Umbria, Italy",H5,2 kg,43.03333,12.55
Atarra,1920,"Uttar Pradesh, India",L4,1280 g,25.25417,80.625
Atemajac,1896,"Jalisco, Mexico",L6,94.2 g,20.06667,-103.66667
Athens,1933,"Alabama, USA",LL6,265 g,34.75,-87
Atoka,1945,"Oklahoma, USA",L6,1384 g,34.31667,-96.15
Atsuma,1935,"Hokkaido, Japan",Doubtful stone,10.69 kg,43,141
Aubres,1836,"Rhone-Alpes, France",Aubrite,800 g,44.38333,5.16667
Augsburg 1528,1528,"Bayern, Germany",Doubtful stone,,48.36667,10.88333
Augsburg 952,952,"Bayern, Germany",Doubtful meteorite,,48.36667,10.88333
Aumale,1865,"Bouira, Algeria",L6,50 kg,36.16667,3.66667
Aumieres,1842,"Languedoc-Roussillon, France",L6,2 kg,44.33333,3.23333
Ausson,1858,"Midi-Pyrenees, France",L5,50 kg,43.08333,0.58333
Avanhandava,1952,"Sao Paulo, Brazil",H4,9.33 kg,-21.46028,-49.95083
Avce,1908,Slovenia,"Iron, IIAB",1230 g,46,13.5
Avilez,1855,"Durango, Mexico",H,146 g,25,-103.5
Awere,1968,"Northern, Uganda",L4,134 g,2.71667,32.83333
Aztec,1938,"New Mexico, USA",L6,2.83 kg,36.8,-108
Bachmut,1814,"Donetsk, Ukraine",L6,18 kg,48.6,38
Bahjoi,1934,"Uttar Pradesh, India","Iron, IAB-sLL",10.32 kg,28.48333,78.5
Bald Mountain,1929,"North Carolina, USA",L4,3.7 kg,35.96667,-82.48333
Baldwyn,1922,"Mississippi, USA",L6,345 g,34.5,-88.66667
Bali,1907,"Nana-Mambere, Central African Republic",CV3,1000 g,5.38333,16.38333
Ban Rong Du,1993,"Phetchabun, Thailand","Iron, ungrouped",16.7 kg,16.66667,101.18333
Bandong,1871,"Jawa Barat, Indonesia",LL6,11.5 kg,-6.91667,107.6
Bansur,1892,"Rajasthan, India",L6,15 kg,27.7,76.33333
Banswal,1913,"Uttar Pradesh, India",L5,14 g,30.4,78.2
Banten,1933,"Jawa Barat, Indonesia",CM2,629 g,-6.33333,106
