Name,Fall,Year,Place,Type,Mass,Lat, Long,
Wells Creek,FALSE,200,"Tennessee, USA",Impact Crater,,-87.36667,-149.5,
Red Wing,FALSE,200,"North Dakota, USA",Impact Crater,,-87.36667,-149.5,
Thrace,TRUE,452,Greece,Doubtful meteorite,,-87.36667,-149.5,
North Africa 481,TRUE,481,,Doubtful meteorite,,-87.03333,-148,
Masanderan,FALSE,852,"Mazandaran, Iran",Doubtful stone,,-87.03333,-148,
Soweida,TRUE,856,"As Suwayda', Syria",Doubtful meteorite,,-87.03333,-148,
Nogata,TRUE,861,"Kyushu, Japan",L6,472 g,-86.93333,-148.55,
Ahmedabad,TRUE,892,"An Najaf, Iraq",Doubtful meteorite,,-86.93333,-148.55,
Narni,TRUE,921,"Umbria, Italy",Stone-uncl,,-86.93333,-144.3,
Augsburg 952,TRUE,952,"Bayern, Germany",Doubtful meteorite,,-86.71667,-141.5,
Italy 956,TRUE,956,Italy,Doubtful meteorite,,-86.71667,-141.5,
Italy 963,TRUE,963,Italy,Doubtful meteorite,,-86.71667,-141.5,
Magdeburg,TRUE,998,"Sachsen-Anhalt, Germany",Doubtful meteorite,,-86.71667,-141.5,
Haviland [crater],FALSE,1000,"Kansas, USA",Impact Crater,,-86.71667,-141.5,
Sobolev,FALSE,1000,"Primorskiy kray, Russia",Impact Crater,,-86.71667,-141.5,
Juzjanan,TRUE,1009,"Herat, Afghanistan",Doubtful Iron,,-86.71667,-141.5,
North Africa 1020,TRUE,1020,,Doubtful meteorite,,-86.71667,-141.5,
Denmark,TRUE,1076,Denmark,Doubtful meteorite,,-86.71667,-141.5,
Aglar,TRUE,1112,"Friuli-Venezia Giulia, Italy",Doubtful meteorite,,-86.71667,-141.5,
Oldisleben,TRUE,1135,"Thuringen, Germany",Doubtful meteorite,,-86.71667,-141.5,
Meissen,TRUE,1164,"Sachsen, Germany",Doubtful Iron,,-86.71667,-141.5,
Mons,TRUE,1186,"Hainaut, Belgium",Doubtful meteorite,,-86.71667,-141.5,
Quedlinburg,TRUE,1249,"Sachsen-Anhalt, Germany",Doubtful meteorite,,-86.71667,-141.5,
Velikoi-Ustyug,TRUE,1250,"Vologodskaya oblast', Russia",Doubtful meteorite,,-86.71667,-141.5,
Friedland,TRUE,1304,Germany,Doubtful meteorite,,-86.71667,-141.5,
Birgi,TRUE,1332,"Izmir, Turkey",Doubtful Iron,50.8 kg,-86.71667,-141.5,
Aidin,TRUE,1340,"Aydin, Turkey",Doubtful meteorite,,-86.71667,-141.5,
Yorkshire,TRUE,1360,England,,,-86.71667,-141.5,
Oldenburg 1368,TRUE,1368,"Niedersachsen, Germany",Doubtful meteorite,,-86.71667,-141.5,
Minden,TRUE,1379,"Nordrhein-Westfalen, Germany",Doubtful meteorite,,-86.71667,-141.5,
Elbogen,TRUE,1400,"Karlovarsk_, Czech Republic","Iron, IID",107 kg,-86.71667,-141.5,
Java,FALSE,1421,"Jawa Tengah, Indonesia",Doubtful stone,3 g,-86.71667,-141.5,
Roa,TRUE,1438,"Castilla y Leon, Spain",Doubtful stone,,-86.71667,-141.5,
Viterbo,TRUE,1474,"Lazio, Italy",Doubtful meteorite,594 g,-86.71667,-141.5,
Rivolta de Bassi,TRUE,1491,"Lombardia, Italy",Stone-uncl,103.3 g,-86.71667,-141.5,
Ensisheim,TRUE,1492,"Alsace, France",LL6,127 kg,-86.71667,-141.5,
