Name,Year,Please,Type,Mass,Location,Notes
Aachenæ**,1880,"Nordrhein-Westfalen, Germany",L5,21 g,"(50.775000, 6.083330)ææ",
Aarhusæ**,1951,"Region Midtjylland, Denmark",H6,720 g,"(56.183330, 10.233330)ææ",
Aba,1927,"Kanto, Japan",Pseudometeorite,,"(35.950000, 140.400000)ææ",
Abeeæ**,1952,"Alberta, Canada",EH4,107 kg,"(54.216670, -113.000000)ææ",
Acapulcoæ**,1976,"Guerrero, Mexico",Acapulcoite,1914 g,"(16.883330, -99.900000)ææ",
Achiras,1902,"Cordoba, Argentina",L6,780 g,"(-33.166670, -64.950000)ææ",
Adhi Kot,1919,"Punjab, Pakistan",EH4,4.24 kg,"(32.100000, 71.800000)ææ",
Adzhi-Bogdo (stone)**,1949,"Govi-Altay, Mongolia",LL3-6,910 g,"(44.833330, 95.166670)ææ",
Aegospotami,-465,Greece,Doubtful meteorite,,,
Agen,1814,"Aquitaine, France",H5,30 kg,"(44.216670, 0.616670)ææ",
Aglar,1112,"Friuli-Venezia Giulia, Italy",Doubtful meteorite,,"(45.783330, 13.366670)ææ",
Aguada,1930,"Cordoba, Argentina",L6,1620 g,"(-31.600000, -65.233330)ææ",
Aguila Blanca,1920,"Cordoba, Argentina",L,1440 g,"(-30.866670, -64.550000)ææ",
Ahmedabad,892,"An Najaf, Iraq",Doubtful meteorite,,"(32.083330, 44.333330)ææ",
Aidin,1340,"Aydin, Turkey",Doubtful meteorite,,"(37.833330, 27.800000)ææ",
Aioun el Atroussæ**,1974,"Hodh el Gharbi, Mauritania",Diogenite-pm,1000 g,"(16.398060, -9.570280)ææ",
A¥r,1925,"Agadez, Niger",L6,24 kg,"(19.083330, 8.383330)ææ",
Aire-sur-la-Lys,1769,"Nord-Pas-de-Calais, France",Unknown,,"(50.666670, 2.333330)ææ",
Akaba,1949,"Ma'an, Jordan",L6,779 g,"(29.516670, 35.050000)ææ",
Akbarpur,1838,"Uttar Pradesh, India",H4,1800 g,"(29.716670, 77.950000)ææ",
Akwangaæ**,1959,"Plateau, Nigeria",H,3 kg,"(8.916670, 8.433330)ææ",
Akyumakæ**,1981,"Agri, Turkey","Iron, IVA",50 kg,"(39.916670, 42.816670)ææ",
Al Raisæ**,1957,"Al Madinah, Saudi Arabia",CR2-an,160 g,"(24.416670, 39.516670)ææ",
Al Zarnkhæ**,2001,"Kurdufan, Sudan",LL5,700 g,"(13.660330, 28.960000)ææ",
Alais,1806,"Languedoc-Roussillon, France",CI1,6 kg,"(44.116670, 4.083330)ææ",
Albareto,1766,"Emilia-Romagna, Italy",L/LL4,2 kg,"(44.650000, 11.016670)ææ",
Albertaæ**,1949,"Haut-Zaire, Congo - Dem. Rep.",L,625 g,"(2.000000, 22.666670)ææ",
Alby sur Ch_ranæ**,2002,"Rhone-Alpes, France",Eucrite-mmict,252 g,"(45.821330, 6.015330)ææ",
Aldsworth,1835,"England, UK",LL5,700 g,"(51.783330, -1.783330)ææ",
Aleppo,1873,"Halab, Syria",L6,3.2 kg,"(36.233330, 37.133330)ææ",
Alessandria,1860,"Piemonte, Italy",H5,908 g,"(44.883330, 8.750000)ææ",
Alexandrovsky,1900,"Chernigov, Ukraine",H4,9.25 kg,"(50.950000, 31.816670)ææ",
Alfianello,1883,"Lombardia, Italy",L6,228 kg,"(45.266670, 10.150000)ææ",
Allegan,1899,"Michigan, USA",H5,32 kg,"(42.533330, -85.883330)ææ",
Allendeæ**,1969,"Chihuahua, Mexico",CV3,2 t,"(26.966670, -105.316670)ææ",
Almahata Sittaæ**,2008,"Nahr an Nil, Sudan",Ureilite-an,3.95 kg,"(20.745750, 32.412750)ææ",Coords are near center of strewnfieldæ
Alta'ameemæ**,1977,"At Ta'min, Iraq",LL5,6 kg,"(35.273330, 44.215560)ææ",
Alto Verde,,"Mendoza, Argentina",Pseudometeorite,,"(-33.116670, -68.333330)ææ",
Alwal,1901,"Andhra Pradesh, India",Doubtful Iron,,"(17.366670, 78.466670)ææ",
Ambapur Nagla,1895,"Uttar Pradesh, India",H5,6.4 kg,"(27.666670, 78.250000)ææ",
Andhara,1880,"Bihar, India",Stone-uncl,2.7 kg,"(26.583330, 85.566670)ææ",
Andover,1898,"Maine, USA",L6,3.2 kg,"(44.616670, -70.750000)ææ",
Andreevkaæ**,1969,"Donetsk, Ukraine",L3,600 g,"(48.700000, 37.500000)ææ",
Andura,1939,"Maharashtra, India",H6,17.9 kg,"(20.883330, 76.866670)ææ",
Angers,1822,"Pays de la Loire, France",L6,,"(47.466670, -0.550000)ææ",
Angra dos Reis (stone),1869,"Rio de Janeiro, Brazil",Angrite,1500 g,"(-22.966670, -44.316670)ææ",
Ankhediya Mota,1985,"Gujarat, India",L4/5,20 kg,"(22.355560, 73.575000)ææ",
Ankoberæ**,1942,"Shewa, Ethiopia",H4,6.5 kg,"(9.533330, 39.716670)ææ",
Anlong,1971,"Guizhou, China",H5,2.5 kg,"(25.150000, 105.183330)ææ",
Annamaæ**,2014,"Murmanskaya oblast', Russia",H5,167.9 g,"(68.774910, 30.787260)ææ",
Aomoriæ**,1984,"Tohoku, Japan",L6,320 g,"(40.810560, 140.785560)ææ",
Appley Bridge,1914,"England, UK",LL6,15 kg,"(53.583330, -2.716670)ææ",
Apt,1803,"Provence-Alpes-Cote d'Azur, France",L6,3.2 kg,"(43.866670, 5.383330)ææ",
Arbol Soloæ**,1954,"San Luis, Argentina",H5,810 g,"(-33.000000, -66.000000)ææ",
Archie,1932,"Missouri, USA",H6,5.07 kg,"(38.500000, -94.300000)ææ",
ArdÑnæ**,1931,"Castilla y Leon, Spain",L6,5.5 g,"(42.436330, -5.560500)ææ",
Arroyo Aguiaræ**,1950,"Santa Fe, Argentina",H5,7.45 kg,"(-31.416670, -60.666670)ææ",
Arundu,1936,"Northern Areas, Pakistan",Doubtful stone,,"(35.866670, 75.333330)ææ",
Asco,1805,"Corse, France",H6,41 g,"(42.450000, 9.033330)ææ",
Ash Creekæ**,2009,"Texas, USA",L6,9.5 kg,"(31.805000, -97.010000)ææ",
Ashdon,1923,"England, UK",L6,1300 g,"(52.050000, 0.300000)ææ",
Assisi,1886,"Umbria, Italy",H5,2 kg,"(43.033330, 12.550000)ææ",
Atarra,1920,"Uttar Pradesh, India",L4,1280 g,"(25.254170, 80.625000)ææ",
Atemajac,1896,"Jalisco, Mexico",L6,94.2 g,"(20.066670, -103.666670)ææ",
Athens,1933,"Alabama, USA",LL6,265 g,"(34.750000, -87.000000)ææ",
Atoka,1945,"Oklahoma, USA",L6,1384 g,"(34.316670, -96.150000)ææ",
Atsuma,1935,"Hokkaido, Japan",Doubtful stone,10.69 kg,"(43.000000, 141.000000)ææ",
Aubres,1836,"Rhone-Alpes, France",Aubrite,800 g,"(44.383330, 5.166670)ææ",
Augsburg (1528),1528,"Bayern, Germany",Doubtful stone,,"(48.366670, 10.883330)ææ",
Augsburg (952),952,"Bayern, Germany",Doubtful meteorite,,"(48.366670, 10.883330)ææ",
Aumale,1865,"Bouira, Algeria",L6,50 kg,"(36.166670, 3.666670)ææ",
Aumieres,1842,"Languedoc-Roussillon, France",L6,2 kg,"(44.333330, 3.233330)ææ",
Ausson,1858,"Midi-Pyrenees, France",L5,50 kg,"(43.083330, 0.583330)ææ",
Avanhandava,1952,"Sao Paulo, Brazil",H4,9.33 kg,"(-21.460280, -49.950830)ææ",
Avce,1908,Slovenia,"Iron, IIAB",1230 g,"(46.000000, 13.500000)ææ",
Avilez,1855,"Durango, Mexico",H,146 g,"(25.000000, -103.500000)ææ",
Awereæ**,1968,"Northern, Uganda",L4,134 g,"(2.716670, 32.833330)ææ",
Aztec,1938,"New Mexico, USA",L6,2.83 kg,"(36.800000, -108.000000)ææ",
Bachmut,1814,"Donetsk, Ukraine",L6,18 kg,"(48.600000, 38.000000)ææ",
Bahjoi,1934,"Uttar Pradesh, India","Iron, IAB-sLL",10.32 kg,"(28.483330, 78.500000)ææ",
Bald Mountain,1929,"North Carolina, USA",L4,3.7 kg,"(35.966670, -82.483330)ææ",
Baldwyn,1922,"Mississippi, USA",L6,345 g,"(34.500000, -88.666670)ææ",
Bali,1907,"Nana-Mambere, Central African Republic",CV3,1000 g,"(5.383330, 16.383330)ææ",
Ban Rong Duæ**,1993,"Phetchabun, Thailand","Iron, ungrouped",16.7 kg,"(16.666670, 101.183330)ææ",
Bandong,1871,"Jawa Barat, Indonesia",LL6,11.5 kg,"(-6.916670, 107.600000)ææ",
Bansur,1892,"Rajasthan, India",L6,15 kg,"(27.700000, 76.333330)ææ",
Banswal,1913,"Uttar Pradesh, India",L5,14 g,"(30.400000, 78.200000)ææ",
Bantenæ**,1933,"Jawa Barat, Indonesia",CM2,629 g,"(-6.333330, 106.000000)ææ",
Barbotan,1790,"Aquitaine, France",H5,6.4 kg,"(43.950000, -0.050000)ææ",
Barcelona (iron),1850,"Cataluna, Spain",Doubtful meteorite,,"(41.366670, 2.166670)ææ",
Barcelona (stone),1704,"Cataluna, Spain",OC,,"(41.366670, 2.166670)ææ",
Barea,1842,"La Rioja, Spain",Mesosiderite-A1,3.2 kg,"(42.383330, -2.500000)ææ",
Barnaul,1904,"Altayskiy kray, Russia",H5,23.2 g,"(52.733330, 84.083330)ææ",
Barntrup,1886,"Nordrhein-Westfalen, Germany",LL4,17 g,"(52.000000, 9.100000)ææ",
Baroti,1910,"Himachal Pradesh, India",L6,4.5 kg,"(31.616670, 76.800000)ææ",
Barwellæ**,1965,"England, UK",L5,44 kg,"(52.565280, -1.339720)ææ",
Basingstoke,1806,"England, UK",Doubtful meteorite,1100 g,"(51.266670, -1.083330)ææ",
Bassikounouæ**,2006,"Hodh ech Chargui, Mauritania",H5,29.56 kg,"(15.783330, -5.900000)ææ",
BaszkÑwkaæ**,1994,"Warszawa, Poland",L5,15.5 kg,"(52.033330, 20.935830)ææ",
Bath,1892,"South Dakota, USA",H4,21 kg,"(45.416670, -98.316670)ææ",
Bath Furnace,1902,"Kentucky, USA",L6,86 kg,"(38.250000, -83.750000)ææ",
Battle Mountainæ**,2012,"Nevada, USA",L6,2.9 kg,"(40.668130, -117.189130)ææ",
Bawkuæ**,1989,"Upper East, Ghana",LL5,1557 g,"(11.083330, -0.183330)ææ",
Baxter,1916,"Missouri, USA",L6,611 g,"(36.750000, -93.500000)ææ",
Baydon,,"England, UK",Pseudometeorite,,"(51.516670, -1.600000)ææ",
Beardsley,1929,"Kansas, USA",H5,16 kg,"(39.800000, -101.200000)ææ",
Beaver Creek,1893,"British Columbia, Canada",H5,14 kg,"(51.166670, -117.333330)ææ",
Beddgelert,1949,"Wales, UK",H5,794 g,"(53.016670, -4.100000)ææ",
Beeston,1780,"England, UK",Doubtful meteorite,,"(52.933330, -1.216670)ææ",
Bellsæ**,1961,"Texas, USA",C2-ung,375 g,"(33.600000, -96.466670)ææ",
Belville,1937,"Cordoba, Argentina",OC,,"(-32.333330, -64.866670)ææ",
Benares (a),1798,"Uttar Pradesh, India",LL4,3.7 kg,"(25.366670, 82.916670)ææ",
Bengueriræ**,2004,"Marrakech-Tensift-El Haouz, Morocco",LL6,25 kg,"(32.250000, -8.150000)ææ",
Beni M'hiraæ**,2001,"Tatawin, Tunisia",L6,19 kg,"(32.866670, 10.800000)ææ",
Benld,1938,"Illinois, USA",H6,1771 g,"(39.083330, -89.150000)ææ",
Benoni,1943,"Gauteng, South Africa",H6,3.88 kg,"(-26.166670, 28.416670)ææ",
Bensouræ**,2002,"Guelmim-Es-Semara, Morocco",LL6,45 kg,"(30.000000, -7.000000)ææ",
Benton,1949,"New Brunswick, Canada",LL6,2.84 kg,"(45.950000, -67.550000)ææ",
Berducæ**,2008,"Entre Rios, Argentina",L6,270 g,"(-31.910000, -58.328330)ææ",
B_r_ba,1924,"Houet, Burkina Faso",Eucrite-mmict,18 kg,"(11.650000, -3.650000)ææ",
Berlanguillas,1811,"Castilla y Leon, Spain",L6,1440 g,"(41.683330, -3.800000)ææ",
Berthoudæ**,2004,"Colorado, USA",Eucrite-mmict,960 g,"(40.305830, -105.023250)ææ",
Bethlehem,1859,"New York, USA",H,13.9 g,"(42.533330, -73.833330)ææ",
Beuste,1859,"Aquitaine, France",L5,2 kg,"(43.216670, -0.233330)ææ",
Beyrout,1921,"Bayrut, Lebanon",LL3.8,1100 g,"(33.883330, 35.500000)ææ",
Bezerros,1915,"Pernambuco, Brazil",Doubtful Iron,,"(-8.300000, -36.100000)ææ",
Bhagur,1877,"Maharashtra, India",L6,18 g,"(20.883330, 74.833330)ææ",
Bhawadæ**,2002,"Rajasthan, India",LL6,678 g,"(26.508330, 73.115280)ææ",
Bheenwal,1865,"Rajasthan, India",Doubtful stone,1470 g,"(25.150000, 73.066670)ææ",
Bherai,1893,"Gujarat, India",L6,100 g,"(20.833330, 71.466670)ææ",
Bhola,1940,"Barisal, Bangladesh",LL3-6,1047 g,"(22.683330, 90.650000)ææ",
Bholghati,1905,"Orissa, India",Howardite,2.5 kg,"(22.083330, 86.900000)ææ",
Bialystok,1827,"Bialystok, Poland",Eucrite-pmict,4 kg,"(53.100000, 23.200000)ææ",
Bielokrynitschie,1887,"Khmel'nitskiy, Ukraine",H4,1900 g,"(50.133330, 27.166670)ææ",
Bilangaæ**,1999,"Gnagna, Burkina Faso",Diogenite,25 kg,"(12.450000, -0.083330)ææ",
Binningupæ**,1984,"Western Australia, Australia",H5,488 g,"(-33.156390, 115.676390)ææ",
Birgi,1332,"Izmir, Turkey",Doubtful Iron,50.8 kg,"(38.233330, 28.100000)ææ",
Birni N'konni,1923,"Tahoua, Niger",H4,560 g,"(13.766670, 5.300000)ææ",
Bishopville,1843,"South Carolina, USA",Aubrite,6 kg,"(34.166670, -80.283330)ææ",
Bishunpur,1895,"Uttar Pradesh, India",LL3.15,1039 g,"(25.383330, 82.600000)ææ",
Bjelaja Zerkov,1796,"Kiev, Ukraine",H6,1850 g,"(49.783330, 30.166670)ææ",
Bjurb_le,1899,"Uusimaa, Finland",L/LL4,330 kg,"(60.400000, 25.800000)ææ",
Black Moshannan Park,1941,"Pennsylvania, USA",L5,705 g,"(40.916670, -78.083330)ææ",
Blackwell,1906,"Oklahoma, USA",L5,2.38 kg,"(36.833330, -97.333330)ææ",
Blanket,1909,"Texas, USA",L6,5.1 kg,"(31.833330, -98.833330)ææ",
Blansko,1833,"Jihomoravsky, Czech Republic",H6,470 g,"(49.366670, 16.633330)ææ",
Bloomingtonæ**,1938,"Illinois, USA",LL6,67.8 g,"(40.480000, -89.004170)ææ",
Bo Xian,1977,"Anhui, China",LL3.9,7.5 kg,"(33.833330, 115.833330)ææ",
Bocas,1804,"San Luis Potosi, Mexico",L6,56 g,"(23.000000, -102.000000)ææ",
Bogouæ**,1962,"Gourma?, Burkina Faso?","Iron, IAB-MG",8.8 kg,"(12.500000, 0.700000)ææ",
Boguslavka,1916,"Primorskiy kray, Russia","Iron, IIAB",256 kg,"(44.550000, 131.633330)ææ",
Borgo San Donino,1808,"Emilia-Romagna, Italy",LL6,1676 g,"(44.866670, 10.050000)ææ",
Bori,1894,"Madhya Pradesh, India",L6,8.6 kg,"(21.950000, 78.033330)ææ",
Boriskino,1930,"Orenburgskaya oblast', Russia",CM2,1342 g,"(54.233330, 52.483330)ææ",
Borkut,1852,"Zakarpats'ka, Ukraine",L5,7 kg,"(48.150000, 24.283330)ææ",
Borodino,1812,"Moskovskaya oblast', Russia",H5,500 g,"(55.466670, 35.866670)ææ",
Botschetschki,1823,"Sumy, Ukraine",L4,614 g,"(51.333330, 33.883330)ææ",
Boumdeid (2003)æ**,2003,"Tagant, Mauritania",L6,190 g,"(17.710670, -11.371500)ææ",
Boumdeid (2011)æ**,2011,"Assaba, Mauritania",L6,3.6 kg,"(17.174930, -11.341330)ææ",
Bovedyæ**,1969,"Northern Ireland, UK",L3,5.46 kg,"(54.566670, -6.333330)ææ",
Bradford Woods,1886,"Pennsylvania, USA",L,762 g,"(40.500000, -80.083330)ææ",
Braunau,1847,"Kràlov_hradeck_, Czech Republic","Iron, IIAB",39 kg,"(50.600000, 16.300000)ææ",
Braunschweigæ**,2013,"Niedersachsen, Germany",L6,1300 g,"(52.225800, 10.519880)ææ",
Breitscheidæ**,1956,"Hessen, Germany",H5,1500 g,"(50.666940, 8.183610)ææ",
Bremerv_rde,1855,"Niedersachsen, Germany",H/L3.9,7.25 kg,"(53.400000, 9.100000)ææ",
Brianza,1760,"Lombardia, Italy",Pseudometeorite,14 g,"(45.750000, 9.250000)ææ",
Brient,1933,"Orenburgskaya oblast', Russia",Eucrite-pmict,219 g,"(52.133330, 59.316670)ææ",
Bruderheimæ**,1960,"Alberta, Canada",L6,303 kg,"(53.900000, -112.883330)ææ",
Brussels,1520,"Bruxelles-Brussel, Belgium",Doubtful stone,,"(50.866670, 4.366670)ææ",
Bukharaæ**,2001,"Bukhara, Uzbekistan",CV3,5.3 kg,"(39.779780, 64.600350)ææ",
Bulls Run,1964,South Africa,Iron?,2.25 kg,,
Bunburra Rockholeæ**,2007,"South Australia, Australia",Eucrite,324 g,"(-31.350000, 129.190000)ææ",
Bununuæ**,1942,"Bauchi, Nigeria",Howardite,357 g,"(10.016670, 9.583330)ææ",
Bur-Gheluai,1919,"Mudug, Somalia",H5,120 kg,"(5.000000, 48.000000)ææ",
Burnwellæ**,1990,"Kentucky, USA",H4-an,1504 g,"(37.621940, -82.237220)ææ",
Bursaæ**,1946,"Bursa, Turkey",L6,25 kg,"(40.200000, 29.233330)ææ",
Buschhof,1863,Latvia,L6,5 kg,"(46.450000, 25.783330)ææ",Should latitude be 56oN?æ
Bustee,1852,"Uttar Pradesh, India",Aubrite,1500 g,"(26.783330, 82.833330)ææ",
Butsura,1861,"Bihar, India",H6,29 kg,"(27.083330, 84.083330)ææ",
Buzzard Couleeæ**,2008,"Saskatchewan, Canada",H4,41 kg,"(52.996000, -109.848170)ææ",
Cabezo de Mayo,1870,"Murcia, Spain",L/LL6,25 kg,"(37.983330, -1.166670)ææ",
Cabin Creek,1886,"Arkansas, USA","Iron, IIIAB",48.5 kg,"(35.500000, -93.500000)ææ",
Cacakæ**,1919,"Serbia, Serbia and Montenegro",OC,212 g,"(43.838890, 20.333330)ææ",
Calce,1635,"Veneto, Italy",Doubtful stone,350 g,"(45.500000, 11.500000)ææ",
Caliæ**,2007,"Valle del Cauca, Colombia",H/L4,478 g,"(3.405000, -76.510000)ææ",
Calivo,1916,"Western Visayas, Philippines",Stone-uncl,2.4 kg,"(11.750000, 122.333330)ææ",
Campos Salesæ**,1991,"Ceara, Brazil",L5,23.68 kg,"(-7.033330, -40.166670)ææ",
âanakkaleæ**,1964,"Canakkale, Turkey",L6,4 kg,"(39.800000, 26.600000)ææ",
CaĞellas,1861,"Cataluna, Spain",H4,945 g,"(41.250000, 1.666670)ææ",
Cangas de Onis,1866,"Asturias, Spain",H5,34 kg,"(43.383330, -5.150000)ææ",
Canon Cityæ**,1973,"Colorado, USA",H6,1400 g,"(38.470280, -105.241390)ææ",
Cape Girardeau,1846,"Missouri, USA",H6,2.3 kg,"(37.266670, -89.583330)ææ",
Capilla del Monte**,1934,"Cordoba, Argentina",H6,750 g,"(-30.883330, -64.550000)ææ",
Carancasæ**,2007,"Puno, Peru",H4-5,342 g,"(-16.664440, -69.043890)ææ",
Caratash,1902,"Izmir, Turkey",LL6,8 g,"(38.500000, 27.000000)ææ",
Cardiff,1842,"Wales, UK",Doubtful stone,,"(51.466670, -3.166670)ææ",
Carlstadt,1822,"Varmlands, Sweden",Pseudometeorite,,"(59.366670, 13.516670)ææ",
Carpentras,1738,"Provence-Alpes-Cote d'Azur, France",Doubtful meteorite,,"(44.050000, 5.050000)ææ",
Castalia,1874,"North Carolina, USA",H5,7.3 kg,"(36.083330, -78.066670)ææ",
Castel Berardenga,1791,"Toscana, Italy",Stone-uncl,,"(43.350000, 11.500000)ææ",
Castine,1848,"Maine, USA",L6,94 g,"(44.383330, -68.750000)ææ",
Castrovillari,1583,"Calabria, Italy",Stone-uncl,15 kg,"(39.800000, 16.200000)ææ",
Caswell County,1810,"North Carolina, USA",OC,1360 g,"(36.500000, -79.250000)ææ",
Cenicerosæ**,1988,"Durango, Mexico",L3.7,1025 g,"(26.466670, -105.233330)ææ",
Centervilleæ**,1956,"South Dakota, USA",H5,45.6 g,"(43.200000, -96.916670)ææ",
Cereseto,1840,"Piemonte, Italy",H5,6.46 kg,"(45.083330, 8.300000)ææ",
Chadongæ**,1998,"Hunan, China",L6,3.7 kg,"(28.533330, 109.316670)ææ",
Chail,1814,"Uttar Pradesh, India",H6,0.5 g,"(25.366670, 81.666670)ææ",
Chainpur,1907,"Uttar Pradesh, India",LL3.4,8.2 kg,"(25.850000, 83.483330)ææ",
